brand_id,brand_name,industry,city
1,NovaWear,Apparel,Hyderabad
2,GlowMint,Beauty,Mumbai
3,ByteKart,Electronics,Bengaluru
4,FinGrow,Fintech,Nagpur
5,FitSphere,Fitness,Chennai
6,TastyTrail,Food,Bengaluru
7,WanderNest,Travel,Ahmedabad
8,SkillSpring,EdTech,Kolkata
9,GameGrid,Gaming,Ahmedabad
10,UrbanAura,Lifestyle,Delhi
11,EcoBasket,Apparel,Hyderabad
12,CloudNine,Beauty,Delhi
13,FreshSip,Electronics,Bengaluru
14,HomeHue,Fintech,Jaipur
15,RideWave,Fitness,Jaipur
16,ZenCare,Food,Hyderabad
17,PixelPeak,Travel,Nagpur
18,CraftLane,EdTech,Kolkata
19,NutriBox,Gaming,Nagpur
20,StyleDock,Lifestyle,Kolkata
