campaign_creator_id,campaign_id,creator_id,agreed_fee,campaign_status
1,1,24,48063.38,Completed
2,1,14,64629.97,Ongoing
3,2,26,26170.9,Completed
4,2,1,33108.89,Cancelled
5,2,3,38259.68,Cancelled
6,2,10,51535.6,Ongoing
7,3,12,30215.15,Completed
8,3,23,26904.12,Completed
9,3,15,33874.93,Cancelled
10,4,7,47704.28,Cancelled
11,4,24,88081.78,Cancelled
12,5,4,32292.21,Completed
13,5,27,22714.21,Completed
14,5,7,66057.52,Completed
15,6,2,65188.23,Completed
16,6,18,60305.31,Ongoing
17,6,10,16412.19,Completed
18,7,16,23117.82,Completed
19,7,15,28703.23,Ongoing
20,7,11,17355.15,Completed
21,8,16,64288.98,Completed
22,8,3,20234.2,Cancelled
23,8,19,85828.3,Completed
24,8,21,89501.29,Completed
25,9,20,50850.95,Ongoing
26,9,26,82497.36,Completed
27,9,8,78533.67,Ongoing
28,9,25,33041.18,Cancelled
29,10,20,86728.92,Completed
30,11,21,29700.98,Completed
31,11,7,20878.68,Completed
32,12,6,8219.41,Ongoing
33,13,10,31182.91,Ongoing
34,13,2,13836.74,Completed
35,13,8,83760.71,Cancelled
36,13,23,62217.01,Completed
37,14,4,20217.13,Completed
38,14,18,75783.76,Completed
39,14,8,12890.32,Completed
40,14,21,56793.61,Cancelled
41,15,15,32935.48,Ongoing
42,15,4,85299.45,Cancelled
43,15,23,52278.49,Ongoing
44,16,20,11268.58,Ongoing
45,17,20,15488.8,Cancelled
46,17,9,56144.08,Completed
47,17,1,89964.94,Completed
48,18,25,70014.04,Ongoing
49,19,30,43742.57,Ongoing
50,19,9,87462.53,Ongoing
51,19,6,36532.81,Completed
52,19,19,34326.78,Completed
53,20,11,64881.24,Completed
54,20,14,62331.85,Ongoing
55,21,15,15220.9,Completed
56,22,4,78922.67,Completed
57,22,25,61928.15,Cancelled
58,22,13,45882.06,Completed
59,23,17,59055.98,Ongoing
60,23,12,59283.52,Completed
61,24,9,18743.08,Completed
62,24,18,43925.52,Ongoing
63,25,1,87798.04,Cancelled
64,26,23,33481.51,Completed
65,26,6,53284.62,Completed
66,27,27,17303.81,Completed
67,27,30,61112.19,Completed
68,28,30,65843.75,Ongoing
69,28,23,76447.36,Ongoing
70,28,10,27985.93,Cancelled
71,28,17,19860.64,Completed
72,29,28,30652.29,Ongoing
73,29,3,35869.77,Cancelled
74,30,27,67536.18,Cancelled
75,30,1,55553.72,Ongoing
76,30,10,78951.37,Ongoing
77,31,12,52561.27,Ongoing
78,31,11,84493.88,Completed
79,31,18,88423.52,Completed
80,31,25,54887.41,Completed
81,32,2,65828.69,Ongoing
82,32,11,39658.46,Completed
83,32,24,48616.95,Completed
84,32,16,18352.19,Cancelled
85,33,28,16176.36,Ongoing
86,33,4,9258.5,Completed
87,33,15,41618.25,Completed
88,34,16,72085.07,Completed
89,35,20,61286.61,Completed
90,35,23,77891.99,Cancelled
91,35,13,39160.77,Completed
92,36,28,13610.5,Completed
93,36,18,89788.93,Completed
94,36,2,43585.66,Completed
95,36,20,70350.31,Completed
96,37,6,10373.67,Completed
97,37,23,73283.76,Completed
98,37,10,37393.99,Ongoing
99,37,29,19936.72,Cancelled
100,38,19,21938.66,Completed
101,38,22,57978.33,Ongoing
102,38,26,58816.25,Completed
103,38,6,48808.71,Cancelled
104,39,8,60308.18,Ongoing
105,39,15,28936.79,Completed
106,40,29,20954.0,Ongoing
107,40,10,85509.32,Cancelled
108,40,22,32530.65,Ongoing
109,40,18,64605.71,Ongoing
110,41,7,47623.06,Completed
111,41,13,39271.87,Completed
112,41,28,55134.58,Completed
113,42,27,61974.84,Completed
114,43,19,78935.53,Completed
115,44,27,73506.53,Cancelled
116,44,29,73758.42,Completed
117,44,10,60202.67,Cancelled
118,44,25,28551.4,Completed
119,45,29,59451.56,Completed
120,46,26,55525.05,Completed
121,46,15,15390.94,Completed
122,46,2,34790.97,Ongoing
123,47,7,72494.05,Completed
124,47,5,51529.89,Completed
125,48,9,75624.56,Ongoing
126,48,30,87325.49,Completed
127,49,26,86957.25,Completed
128,49,4,69840.42,Completed
129,49,15,78531.53,Ongoing
130,50,3,9141.33,Cancelled
131,50,26,18134.28,Completed
132,50,13,63171.93,Completed
133,51,27,63336.6,Ongoing
134,51,21,10052.02,Cancelled
135,51,12,34896.52,Cancelled
136,51,4,26152.11,Completed
137,52,30,41480.26,Completed
138,52,23,11718.44,Completed
