campaign_id,brand_id,campaign_name,start_date,end_date,budget,objective
1,20,Campaign_001,2025-04-18,2025-05-16,121708.72,Conversions
2,17,Campaign_002,2025-09-08,2025-10-01,455034.83,Awareness
3,3,Campaign_003,2025-11-21,2025-12-25,418940.34,Awareness
4,1,Campaign_004,2025-06-20,2025-07-05,327628.85,Conversions
5,6,Campaign_005,2026-01-15,2026-02-19,287048.2,App Installs
6,18,Campaign_006,2025-01-05,2025-01-19,60740.83,Engagement
7,18,Campaign_007,2025-01-19,2025-02-18,301692.04,Engagement
8,14,Campaign_008,2025-03-07,2025-03-16,171422.72,Awareness
9,12,Campaign_009,2025-04-18,2025-05-10,341793.37,Conversions
10,18,Campaign_010,2026-03-29,2026-05-01,487572.59,Engagement
11,8,Campaign_011,2026-03-19,2026-04-05,488697.87,Engagement
12,14,Campaign_012,2025-01-13,2025-01-31,374868.12,Conversions
13,14,Campaign_013,2026-02-15,2026-03-09,151732.71,Awareness
14,13,Campaign_014,2026-03-23,2026-04-01,432831.79,Engagement
15,7,Campaign_015,2026-02-23,2026-03-31,191087.75,Engagement
16,8,Campaign_016,2025-01-13,2025-02-01,214271.34,Conversions
17,3,Campaign_017,2026-05-11,2026-06-04,191794.41,Lead Generation
18,13,Campaign_018,2025-12-14,2026-01-24,182296.19,Awareness
19,4,Campaign_019,2026-03-26,2026-04-18,109819.71,Conversions
20,2,Campaign_020,2025-02-25,2025-04-11,231417.79,Conversions
21,14,Campaign_021,2025-11-07,2025-12-16,79931.75,Lead Generation
22,7,Campaign_022,2025-05-11,2025-05-20,361673.01,Awareness
23,17,Campaign_023,2026-04-19,2026-05-30,351257.14,Engagement
24,12,Campaign_024,2025-08-09,2025-08-20,475715.38,Conversions
25,20,Campaign_025,2025-06-10,2025-06-24,366883.27,Conversions
26,17,Campaign_026,2025-06-08,2025-07-11,179936.88,Conversions
27,18,Campaign_027,2025-03-07,2025-03-26,224712.01,App Installs
28,6,Campaign_028,2025-11-12,2025-12-25,167951.19,Lead Generation
29,1,Campaign_029,2025-06-05,2025-06-30,124836.78,Lead Generation
30,20,Campaign_030,2025-12-02,2025-12-29,245869.39,App Installs
31,7,Campaign_031,2025-09-19,2025-10-26,402024.31,Engagement
32,3,Campaign_032,2025-05-26,2025-07-04,340330.57,Lead Generation
33,11,Campaign_033,2025-02-17,2025-03-11,344577.94,Engagement
34,7,Campaign_034,2025-03-17,2025-03-25,46951.52,App Installs
35,20,Campaign_035,2026-03-12,2026-03-23,241322.68,Lead Generation
36,7,Campaign_036,2026-01-03,2026-02-03,259829.16,Engagement
37,5,Campaign_037,2025-12-02,2025-12-09,449013.42,Awareness
38,14,Campaign_038,2025-04-23,2025-05-11,406952.18,Lead Generation
39,15,Campaign_039,2025-01-26,2025-03-09,143369.18,Awareness
40,15,Campaign_040,2025-03-10,2025-04-15,342099.42,Lead Generation
41,20,Campaign_041,2025-06-12,2025-07-17,316009.85,Lead Generation
42,14,Campaign_042,2026-03-02,2026-04-13,236808.97,Engagement
43,16,Campaign_043,2025-08-19,2025-09-11,382093.97,Conversions
44,17,Campaign_044,2025-09-06,2025-09-28,155433.79,Awareness
45,10,Campaign_045,2025-05-01,2025-05-25,184527.58,Lead Generation
46,3,Campaign_046,2025-03-12,2025-03-28,134849.2,Engagement
47,7,Campaign_047,2025-02-02,2025-03-07,218609.7,Lead Generation
48,15,Campaign_048,2025-08-01,2025-08-11,123246.34,App Installs
49,13,Campaign_049,2026-04-09,2026-05-23,474379.47,Awareness
50,19,Campaign_050,2025-07-14,2025-08-20,27800.64,Conversions
51,10,Campaign_051,2026-01-21,2026-02-21,430387.78,App Installs
