post_id,campaign_creator_id,account_id,post_date,impressions,likes,comments,clicks,conversions,revenue_generated
1,1,48,2025-10-06,469637,29566,3175,8828,498,707240.61
2,2,28,2026-03-17,121276,3960,562,2485,306,98041.46
3,3,52,2025-01-08,219353,7482,434,1582,84,63721.53
4,3,52,2026-05-25,788301,35041,1515,17530,861,960894.54
5,6,20,2025-03-15,421359,33262,918,1142,190,301391.4
6,6,21,2026-03-16,606253,25677,3472,7882,621,1085265.51
7,6,19,2026-04-17,728108,60856,2182,24821,1274,1481344.13
8,7,24,2026-02-10,330346,23013,1378,10441,239,294328.08
9,7,24,2025-12-24,373154,25445,4259,12303,617,294301.93
10,7,24,2025-06-27,636661,14152,2216,3096,531,649583.24
11,8,47,2026-04-05,719220,60365,7340,18801,2184,3471648.52
12,8,47,2025-11-20,163290,7377,770,4244,616,718687.58
13,12,10,2025-03-17,330486,15512,415,5291,311,388511.47
14,12,8,2026-06-04,408159,19190,2298,13097,2125,2012560.39
15,13,54,2025-11-26,639394,30723,1448,2782,76,124917.14
16,13,54,2025-03-28,534057,32946,891,15428,2753,2924529.13
17,13,54,2026-01-08,395963,33037,2964,12444,1560,516619.82
18,14,15,2025-03-09,350705,6158,875,4488,597,756801.58
19,14,14,2025-12-08,90461,5121,232,1383,241,321167.19
20,14,15,2025-05-13,628945,41954,1478,14616,1745,1324696.96
21,15,3,2026-03-10,538188,20960,1787,4762,221,379873.77
22,16,34,2025-08-20,149247,3342,244,4768,459,498769.91
23,16,36,2026-06-24,44581,2806,498,1136,126,61625.56
24,17,21,2025-06-19,761215,34265,3219,21087,1062,996695.5
25,18,32,2025-08-28,564951,16458,3189,17968,2940,1619131.72
26,18,32,2026-04-18,300459,21708,2399,5380,202,113025.36
27,19,29,2025-09-14,59714,3660,649,1377,37,57761.92
28,19,29,2025-10-19,92949,6603,456,3383,118,109513.73
29,19,29,2026-04-07,371566,31374,2970,6340,466,395427.79
30,20,23,2025-08-18,34556,1226,46,1007,67,31917.22
31,21,32,2026-04-29,734884,56210,8802,14569,1669,2760658.03
32,23,37,2025-08-09,161782,8720,1315,3568,103,71745.42
33,24,41,2025-02-18,255021,11115,1810,4939,142,234722.83
34,24,43,2025-01-17,667652,34203,2173,4977,412,495617.4
35,25,40,2026-03-03,201412,12719,450,7862,169,180051.27
36,26,52,2026-02-04,497972,6714,601,8059,1104,887059.04
37,26,52,2025-12-20,257838,17696,2355,8074,1089,833524.79
38,26,52,2025-12-27,577536,21417,2906,19378,2449,4335390.59
39,27,16,2025-05-19,71165,4788,908,242,10,14762.19
40,27,16,2025-11-20,330138,16913,3349,7472,396,561369.97
41,29,39,2026-01-01,55126,4369,348,371,26,42346.31
42,30,42,2026-01-31,360505,31687,3463,7536,1259,1328090.86
43,30,41,2026-03-11,87760,3900,776,777,46,18815.23
44,30,42,2025-10-30,326384,14907,2223,2719,232,218787.83
45,31,15,2026-03-22,292892,17912,2910,1224,151,132823.5
46,31,14,2025-02-01,154715,12051,1711,2885,90,55421.36
47,31,15,2026-01-06,406451,34937,902,3182,275,226873.62
48,32,13,2025-05-21,560178,22046,1688,7052,1222,354582.46
49,32,13,2026-05-27,547895,22441,2717,6545,355,334311.78
50,33,20,2026-05-18,214902,4257,738,4121,670,629747.97
51,33,19,2025-11-24,705280,26655,844,15941,2574,4040179.17
52,33,21,2025-06-28,384052,19471,814,3701,124,182909.7
53,34,4,2026-01-13,495110,36783,4388,12503,308,224655.39
54,36,47,2026-05-06,556231,23842,2233,13264,415,307678.05
55,36,45,2026-04-06,493461,31783,2606,17450,2489,3090542.99
56,36,45,2025-05-13,458633,23036,4060,15406,1510,1089303.49
57,37,9,2025-08-19,367831,31559,3578,4705,110,60969.48
58,38,35,2025-05-09,660383,22602,2622,13932,538,919706.07
59,38,34,2025-06-25,695731,41714,7606,10317,1723,540765.57
60,38,34,2025-03-25,52670,4523,718,635,29,32967.57
61,39,16,2026-05-25,662629,35547,4818,8931,461,692141.45
62,39,16,2025-11-01,480575,7611,234,8989,829,469409.37
63,39,16,2025-11-17,758258,26952,5332,11467,891,1273266.39
64,41,31,2025-04-19,339617,9964,419,6481,220,72256.4
65,41,30,2026-03-05,265330,23087,4211,8732,1473,2014694.37
66,41,29,2025-06-13,527469,47302,4920,18674,1765,687601.81
67,43,47,2026-04-14,257422,7004,584,1009,94,152056.86
68,43,47,2026-04-27,304628,16125,2781,5597,895,1232985.56
69,44,39,2025-02-16,425040,5989,725,6705,396,336140.91
70,44,39,2025-10-14,658516,42429,1755,25717,1979,2933057.5
71,46,18,2025-05-28,213727,12438,1147,754,12,16272.81
72,46,18,2026-06-16,484187,10611,1918,3540,595,442514.32
73,47,2,2025-12-11,536958,40950,4742,15535,947,1434146.92
74,47,2,2025-12-06,711537,13354,1268,9742,1585,2538779.5
75,48,50,2026-05-01,283428,24761,3984,8926,965,1320284.22
76,48,51,2025-06-24,554697,33460,4401,18839,661,862688.74
77,48,50,2025-04-23,205051,2361,180,1590,202,178989.17
78,49,60,2025-03-05,745058,15680,898,10692,1310,1394481.36
79,49,60,2025-06-27,486992,40405,3297,7530,1063,1453581.35
80,49,60,2026-05-11,206603,17889,1256,2756,468,829531.62
81,50,17,2026-05-16,337441,16326,1973,12657,1679,1168707.46
82,50,18,2026-02-09,366899,31688,5223,4783,281,381294.24
83,51,13,2025-09-20,788641,38112,2148,17717,2987,3969918.7
84,51,13,2025-04-22,650584,45066,2842,2556,418,250712.66
85,52,37,2025-04-13,438377,15967,1677,12224,407,710216.66
86,53,23,2026-05-03,505641,31371,4895,6530,382,130530.17
87,54,27,2025-02-08,188568,8189,1398,7069,114,176257.11
88,55,29,2025-10-24,44286,475,58,269,47,32480.32
89,55,31,2026-06-21,522904,42428,1873,11064,623,936781.12
90,56,8,2026-04-15,684776,20941,1120,20537,2966,3351760.61
91,56,8,2025-06-29,645632,50676,9196,21580,2106,809638.1
92,58,26,2025-07-09,152442,7347,1384,344,25,23561.0
93,58,26,2025-12-04,321613,18202,2240,3839,273,168241.44
94,58,26,2026-04-22,326709,7441,1067,12113,1949,2812901.31
95,59,33,2025-10-30,390397,23099,1373,2762,99,139489.91
