account_id,creator_id,platform_id,followers,engagement_rate
1,1,2,542277,5.05
2,1,1,57405,7.77
3,2,2,450666,5.81
4,2,3,411457,4.22
5,3,3,128116,6.44
6,3,4,571054,6.96
7,3,1,364699,2.23
8,4,2,284183,8.59
9,4,4,195330,5.16
10,4,1,119579,7.84
11,5,2,400077,7.04
12,5,1,573579,8.46
13,6,3,520340,1.54
14,7,3,68738,3.18
15,7,1,602916,8.41
16,8,4,80574,8.64
17,9,2,506369,8.41
18,9,3,181148,3.36
19,10,2,334858,4.35
20,10,3,399559,4.64
21,10,1,550717,4.74
22,11,2,362508,1.56
23,11,1,588828,3.1
24,12,1,69733,3.09
25,12,4,40938,7.76
26,13,2,300004,6.35
27,14,2,606782,5.66
28,14,3,262801,7.21
29,15,2,459989,4.02
30,15,1,439071,4.86
31,15,3,64802,6.38
32,16,1,430179,6.79
33,17,2,208896,2.81
34,18,2,300075,4.82
35,18,4,87046,4.68
36,18,1,585057,2.12
37,19,1,255861,2.63
38,20,4,69483,2.62
39,20,1,10260,8.69
40,20,2,286085,8.26
41,21,3,170316,2.81
42,21,2,236275,8.57
43,21,4,615314,6.84
44,22,3,67942,1.77
45,23,2,202851,1.91
46,23,1,79262,6.4
47,23,3,254629,4.39
48,24,1,93965,4.5
49,24,3,620024,5.58
50,25,3,337445,3.17
51,25,1,423011,2.37
52,26,4,84066,1.47
53,26,2,598341,8.77
54,27,2,538458,3.36
55,28,1,395477,3.51
56,28,4,467469,7.57
57,29,1,589542,3.62
58,29,3,116618,8.35
59,30,3,120235,6.89
60,30,1,170998,3.42
