payment_id,campaign_creator_id,amount_paid,payment_date,payment_status
1,1,48063.38,2026-05-07,Paid
2,2,32314.99,2026-04-02,Partially Paid
3,3,26170.9,2025-11-09,Paid
4,4,0,,Not Paid
5,5,0,,Not Paid
6,6,25767.8,2025-04-22,Partially Paid
7,7,30215.15,2025-03-25,Paid
8,8,26904.12,2025-05-24,Paid
9,9,0,,Not Paid
10,10,0,,Not Paid
11,11,0,,Not Paid
12,12,32292.21,2025-09-27,Paid
13,13,22714.21,2025-03-19,Paid
14,14,66057.52,2026-06-04,Paid
15,15,65188.23,2026-02-19,Paid
16,16,0.0,,Pending
17,17,16412.19,2025-09-24,Paid
18,18,0,,Pending
19,19,0.0,,Pending
20,20,17355.15,2026-02-06,Paid
21,21,64288.98,2025-10-25,Paid
22,22,0,,Not Paid
23,23,85828.3,2026-04-21,Paid
24,24,89501.29,2026-02-11,Paid
25,25,25425.47,2026-05-30,Partially Paid
26,26,82497.36,2025-09-02,Paid
27,27,0.0,,Pending
28,28,0,,Not Paid
29,29,86728.92,2026-04-02,Paid
30,30,29700.98,2025-07-03,Paid
31,31,20878.68,2026-05-11,Paid
32,32,4109.7,2025-02-11,Partially Paid
33,33,0.0,,Pending
34,34,0,,Pending
35,35,0,,Not Paid
36,36,62217.01,2025-03-06,Paid
37,37,20217.13,2026-01-14,Paid
38,38,75783.76,2025-02-13,Paid
39,39,12890.32,2026-06-15,Paid
40,40,0,,Not Paid
41,41,16467.74,2026-02-02,Partially Paid
42,42,0,,Not Paid
43,43,26139.24,2026-04-11,Partially Paid
44,44,0.0,,Pending
45,45,0,,Not Paid
46,46,56144.08,2025-11-28,Paid
47,47,89964.94,2026-06-18,Paid
48,48,35007.02,2025-09-27,Partially Paid
49,49,0.0,,Pending
50,50,43731.26,2026-01-23,Partially Paid
51,51,36532.81,2025-03-21,Paid
52,52,34326.78,2026-01-21,Paid
53,53,64881.24,2026-06-13,Paid
54,54,31165.92,2025-12-28,Partially Paid
55,55,15220.9,2026-05-14,Paid
56,56,0,,Pending
57,57,0,,Not Paid
58,58,45882.06,2026-05-29,Paid
59,59,0.0,,Pending
60,60,0,,Pending
61,61,18743.08,2025-08-24,Paid
62,62,0.0,,Pending
63,63,0,,Not Paid
64,64,33481.51,2025-08-05,Paid
65,65,53284.62,2025-07-11,Paid
66,66,17303.81,2026-01-06,Paid
67,67,61112.19,2025-08-24,Paid
68,68,32921.88,2025-12-05,Partially Paid
69,69,0.0,,Pending
70,70,0,,Not Paid
71,71,0,,Pending
72,72,15326.15,2026-05-06,Partially Paid
73,73,0,,Not Paid
74,74,0,,Not Paid
75,75,0.0,,Pending
76,76,0.0,,Pending
77,77,26280.63,2025-01-23,Partially Paid
78,78,84493.88,2025-02-14,Paid
79,79,88423.52,2025-06-14,Paid
80,80,54887.41,2026-06-09,Paid
81,81,0.0,,Pending
82,82,39658.46,2025-02-27,Paid
83,83,48616.95,2025-09-22,Paid
84,84,0,,Not Paid
85,85,0.0,,Pending
86,86,0,,Pending
87,87,41618.25,2025-10-18,Paid
88,88,72085.07,2025-08-10,Paid
89,89,0,,Pending
90,90,0,,Not Paid
91,91,0,,Pending
92,92,0,,Pending
93,93,89788.93,2025-08-13,Paid
94,94,0,,Pending
95,95,70350.31,2025-07-06,Paid
96,96,10373.67,2025-06-21,Paid
97,97,73283.76,2026-04-10,Paid
98,98,0.0,,Pending
99,99,0,,Not Paid
100,100,21938.66,2026-01-23,Paid
101,101,28989.17,2025-05-16,Partially Paid
102,102,58816.25,2025-01-17,Paid
103,103,0,,Not Paid
104,104,0.0,,Pending
105,105,0,,Pending
106,106,0.0,,Pending
107,107,0,,Not Paid
108,108,0.0,,Pending
109,109,0.0,,Pending
110,110,0,,Pending
111,111,39271.87,2026-06-29,Paid
112,112,55134.58,2025-04-06,Paid
113,113,0,,Pending
114,114,78935.53,2026-07-07,Paid
